"Deep Learning Engineer, TikTok e-Commerce",Tiktok Pte. Ltd.,96000-192000 SGD Per Annum,Permanent Job,2-5 Years,Tensorflow  Machine Learning  MongoDB  Cloud Computing  Natural Language Processing  Computer Vision  Pytorch  Python  Data Science  text classification ,"1. Responsible for the developing of deep learning models and related intelligent systems for the supply chain and logistics of international E-Commerce business.
2. Participate in the process of optimizing the business results by using some of the following techniques: computer vision, natural language processing, sales prediction, time-series, geo-coding, etc..
3. Keep track of cutting-edge technologies in the fields of computer vision, natural language processing and multi-modal machine learning; make use of these technologies to optimize the results in tasks such as fine-grained product style analysis, product similarity analysis and product attribute recognition, etc.
Qualifications
1. Have in-depth study in a certain field of natural language processing or computer vision, including but not limited to: image/video classification and recognition, image segmentation, object detection, OCR, graph neural network, text classification, NER, multimodal, unsupervised and self-supervised learning;
2. Familiar with at least one framework of TensorFlow / PyTorch / MXNet and its training and deployment details, as well as the training acceleration methods such as mixed precision training and distributed training;
3. Familiar with the latest research and technology in model compression acceleration, including but not limited to model quantization, pruning, knowledge distillation, as well as inference frameworks such as TensorRT;
4. Have strong practical ability, winners in Kaggle, COCO, ImageNet, NOI/IOI and other competitions are preferred, and those who have papers published in relevant competitions and top academic conferences (such as CVPR, ICCV, ECCV, ACL, EMNLP, etc.) are preferred as well;
5. Familiar with AutoML related algorithms, preferably with experience in automatic search of network structure or hyper parameters;
6. Familiar with big data related frameworks and application, those who are familiar with MR or Spark are preferred",Other,IT,Other Software/Hardware/EDP,,24 days ago
SERVER/CLOUD ENGINEER,Opus It Services Pte Ltd,66000-117600 SGD Per Annum,Permanent Job,2-5 Years,Puppet  Kubernetes  Azure  Cloud Computing  Vmware  Windows Server  RedHat  Continuous Integration  Performance Tuning  Docker  Linux  Troubleshooting  Hardware  Statistics  Audit ,"Description
Knowledge of Windows Server 2012/2016/2019
Knowledge of VMware or storage or cloud or Redhat would be good but not mandatory.
Knowledge of Powershell and JSON/MCSE/MCSA/VMware/Azure 104/Azure 400 certified would be advantageous.
Install new and/or rebuild infrastructure, server, storage, hardware appliances, services, settings, in accordance to customer's requirement that complies with audit processes.
Maintain Standard Operating Procedure, together with the customer to ensure the processes are in line and up to date as necessary.
Perform daily system checks and monitoring and to highlight if any abnormalities are found.
Ensure that backups are running and send off the media off site as necessary.
Create, Change, Delete users accounts as per request.
Perform monthly and ad-hoc patching as necessary for the various servers that are covered under the contract.
Perform ongoing performance tuning, hardware upgrades, and resource optimization as required.
Configure CPU, memory, and disk partitions as required.
Perform monthly performance reporting and capturing of server health statistics to assist with capacity planning.
Perform level 1 troubleshooting and maintenance for storage.
Work with level 2 storage teams for more in depth troubleshooting and/or deployment of new storage
Work on any other server related requests as and when needed.
Perform escort of vendors as necessary within the customer's premises.
Requirement
Rotating standby to work on night or weekend tasks when required.",Other,IT,Other Software/Hardware/EDP,,24 days ago
Professional Services Intern,Amazon,Not Specified,Permanent Job,Not Specified,,"Job Description :
Do you want to experiment with innovative technologies, including Cloud Computing, Machine Learning, and Internet of Things Are you passionate about educating, training, designing, and building enterprise cloud computing solutions for a diverse and challenging set of customers
Amazon Web Services (AWS), a leader in Cloud Computing, is seeking interns to join our AWS Professional Services team. This is a unique opportunity for driven self-starters to play a key role in a fast-growing business and to deliver significant value to AWS customers of all s from nimble startups to global brands. The skills and experiences you gain will be highly sought after throughout the industry and give you the opportunity for the career of a lifetime.
The AWS Professional Services organization is a global team of experts that helps AWS customers realize their desired business outcomes when using the AWS Cloud. We deliver focused guidance through our global specialty practices, which cover a variety of solutions, technologies, and industries. In addition to working alongside our customers, we share our experience through tech talk webinars, White Papers, and blog posts that are available to anyone. As a Professional Services intern, you will gain hands-on experience in cloud computing, develop business acumen, and learn about Amazon's peculiar culture. You will work on projects, have the opportunity to obtain the AWS Cloud Practitioner certification, and attend professional development events.
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Harmony
Our team puts a high value on work-life harmony. It isn't about how many hours you spend at home or at work it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment And we encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. Our senior members enjoy one-on-one mentoring. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.

Are you ready to embrace the challenge Come build the future with us.

This opportunity is open to candidates able to legally work in Singapore, and able to commit to a full-time internship from May-August 2022.

Basic Qualifications :
. Penultimate year student working towards a bachelor's degree
. Experience with one of the following programming languages: , Python, Ruby, Node.js, C#, or C++
. Experience with networking fundamentals, security, databases (relational and/or NoSQL), operating systems (Unix, Linux, and/or Windows)

Preferred Qualifications :
. Experience with software development lifecycle (SDLC) and agile/iterative methodologies
. Knowledge of the primary AWS services such as EC2, ELB, RDS, VPC, Route53, and S3
. Basic experience setting up cloud environment with AWS
. Experience with infrastructure as code, ops automation, and configuration management tools such as Chef, Puppet, or Ansible

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",Internet/E-commerce,IT,Software Engineer/Programmer,,19 days ago
Technical Trainer,Servishero Pte. Ltd.,75600-113400 SGD Per Annum,Permanent Job,2-5 Years,CSS  Cloud Computing  HTML  Javascript  Web Technologies  Enterprise Software  Technical Training  Itil  Classroom  Service Management  Administration  Powerpoint  It Management  Instructional Design  Captivate  Training Delivery ,"Job Description
Company
Work matters. It's where we spend a third of our lives. And the workplace of the future is going to be a great place. We're dedicated to bringing that to life for people everywhere. That's why we put people at the heart of everything we do.
People matter. Our people have a passion for learning, building, and innovating. Whether you're an engineer, a sales professional, a finance professional, or anything in-between, our roles aim to provide each person with meaningful impact and plenty of space to grow.

Role:
ServiceNow is looking for a Technical Trainer who will deliver ServiceNow product training as part of our Training Delivery team.
What you get to do in this role:
Delivering technical content (across multiple products) at a variety of levels to different audience levels via classroom (public, private), virtual classroom, and recorded formats.
Learn highly technical products quickly using pre-release documentation and pre-release software and hardware.
Use exceptional verbal and written communication skills, including virtual/online delivery of multi-day classes.
Contribute and assist in development of effective and sustainable training courseware and curriculum.
Travel up to 50% (worldwide).
Qualifications
In order to be successful in this role, we need someone who has:
A strong technical background and experience with enterprise software (PaaS a plus) and programming languages (JavaScript preferred).
Understanding of web technologies (HTML, CSS or JavaScript) and experience with any programming/scripting language essential.
Knowledge and hands on experience implementing ITSM solutions or similar preferred.
Any background/experience in ITIL, Service Management, Asset Management, IT Management, IT Security or ITOM preferred.
High level of flexibility, creativity, and dependability.
3-5 years of experience in a technical training environment required; some instructional design experience preferred.
CTT+ or equivalent preferred
ITIL certification preferred
Able to liaise with Korean speaking stakeholders is a plus!
Good working knowledge of MS Office applications, including: Word, Excel, and PowerPoint as well as learning technologies such as Captivate, design tools, LMS and web conferencing applications.",Other,"IT , Others","Teacher/Lecturer/Professor , Other Software/Hardware/EDP",,24 days ago
Cloud Service Delivery & Support Engineer,Oversea-chinese Banking Corporation Limited,72000-138000 SGD Per Annum,Permanent Job,5-7 Years,Azure  Cloud Computing  Vmware  User Experience  Scripting  Networking  Operating Systems  Apache Kafka  Virtual Server  Virtualization  Linux  Service Delivery  Technical Support  windows networking  Troubleshooting  Pressure ,"Job Summary
Be an integral part of OCBC Group's Cloud Service Engineering team to support & operate OCBC's multi-cloud infrastructure and services.
We leverage modern technology and stacks to support and scale the bank's applications and provide lasting value to our customers. You will be at the forefront of this transformational platform, assisting our business and technology stakeholders take advantage of OCBC Cloud's growing set of features and services to run their application workloads.
As a Cloud Service Delivery & Support Engineer, you will be the go-to liaison responsible for solving our stakeholder's cases and arming them with required tools and techniques to help them get the most out of OCBC Cloud.
Would you like to learn and use the latest cloud computing technologies Do you have an interest in helping your stakeholders understand Cloud, address their challenges and drive support-related projects that improve processes and experiences If you fit the description, you might be the person we are looking for!
Job responsibilities and what you might expect:
Learn and use modern cloud technologies.
Provide technical support on full stack of OCBC Cloud infrastructure and services (e.g. compute, storage, networking, application messaging, integration, etc.)
Apply problem solving and troubleshooting techniques to identify, isolate the root cause and recover from reported problems.
Partner with stakeholders to reproduce and provide long term solutions that resolve their issues.
Lead stakeholder engagement and communications during support events.
Drive support-related projects that improve Cloud support processes and user experience.
Provide wikis/tutorials/videos and other technical support articles for the stakeholder community.
Be the voice of our stakeholders in providing feedback to our internal Cloud Engineering teams on how to improve OCBC Cloud services.
OCBC Cloud Service Engineering is a 24/7/365 operations and shift work will be required to include nights, weekends and holidays.
Qualifications/ Requirements:
Basic
Possesses at least a Diploma in Computer Science/Information Technology or equivalent.
Minimum 3 years hands-on-experience on supporting both on-premise and/or hybrid cloud infrastructure.
Knowledge of client-server, 3-tier architecture web applications & distributed systems.
Troubleshoot and resolve technical problems across operating systems (Linux, Windows), networking connectivity, storage disks, etc.
System administration experience with troubleshooting OS, application logs and knowledge of administrative tasks required to address system level issues.
Basic understanding of container platforms, application services e.g. Apache Kafka, Redis, and OpenShift/Kubernetes.
A good team player and able to work effectively with stakeholders to resolve an issue to closure.
Exposure to Commercial Cloud Services Providers e.g. AWS, Azure, GCP.
Preferred
Bachelor's Degree in Computer Science/Information Technology or equivalent.
Knowledge of Cloud architecture patterns.
5 years experience in managing container platforms, application services, cloud technologies e.g. VMWare, AWS, Azure, GCP, Terraform, Ansible, Chef, Puppet, Apache Kafka, Redis, and OpenShift/Kubernetes
Demonstrate strong knowledge in technology infrastructure domain such as virtual server technologies, networking, internet protocols, scripting & monitoring tools.
Associate level certification in VMWare, AWS, Azure and GCP.
Strong analytical and problem-solving skills, ability to stay cool under pressure
Apply directly at: https://ocbc.taleo.net/careersection/ocbc_external/jobdetail.ftljob=220000DG&tz=GMT%2B08%3A00&tzname=Asia%2FSingapore",Other,"IT , Banking","Product Manager - Auto/Home/Personal Loan , Other Software/Hardware/EDP",,24 days ago
"VP, Platform and Solution Architect for Next Gen applications, Investment & Insurance, Consumer Banking Group Technology, Technology & Operations (WD31613)",Dbs Bank Ltd.,124800-224400 SGD Per Annum,Permanent Job,10-15 Years,System Integration  Agile  Sdlc  Sql  windows domain  Java  Api  Vmware Workstation  Databases  Business Requirements  Leadership  Assessing  Interpersonal Skills  Architect  thought leadership ,"Business Function
Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
Responsibilities
Subject Matter Expertise- Act as visionary and strategist for solution/application area
Survey market landscape for solution/application insights, direction, vendors, and methods.
Provides expertise to identify and translate system requirements into software design artifacts.
Make presentations at internal conferences and author internal publications.
Act as technology leaders within our wider digital and technology practices, providing thought leadership, guidance and coaching to junior members of team.
Early Ideation- Help business development life cycle by serving as a solution SME to help identify and qualify business development opportunities
Provide end to end solution and design details.
Drive POCs to assess new solution/application paths.
Lead / participate in product selection process and fit gap analysis.
Responsible for the change in delivery and deployment strategy for all
Maintain and monitor all aspects of the application:
Interoperability
Performance and scalability
Reliability and availability
Application lifecycle stage
Technological risks
Number of instances / countries
Functionality and Capability
Maintain and monitor all aspects of the application:
-Interoperability
-Performance and scalability
-Reliability and availability
-Application lifecycle stage
-Technological risks
-Number of instances / countries
-Functionality and Capability
Understand the system process flow of the primary business processes. Give a clear picture of the functionality map and the applications footprint of various applications across the map.
Hands-on involvement in Agile, Minimum Viable Product (MVP), and outcome-based delivery model is essential.
Responsible for the change in delivery and deployment strategy for all.
Methodology and Quality Assurance - Lead development of formalized solution methodologies
Create, Manage & Update repository for solution/application artifacts.
Interface and coordinate tasks with internal and external technical resources. Collaborate with Project Managers and technical staff to provision estimates, develop overall implementation solution/application plan, and serve as a lead as required, to implement the installation, customization, and integration efforts.
Contribute during project life cycle, from initial kickoff through requirements analysis, design and implementation phases for projects within the solution/application area.
Provide quality assurance for services within the solution/application area.
Write, or direct the writing of white papers that add further insight and thought in the solution/application area.
Drive a target and consistent application architecture across the enterprise and different platforms in the bank considering various business functions & geographic locations.
Drive application & technical architectures to ensure scalability, data consistency, speed of access, appropriate monitoring & instrumentation.
Translate functional and non-functional requirements into design within the enterprise context; help business and technology define appropriate non-functional requirements and help in assessing the error budget defined.
Ensure application architecture uses best in breed enterprise wide and open source tools.
Create deployment strategies for existing and new services based on business objectives.
Document and create reusable architecture and design specifications.
Provide strategic and tactical solutions for technical issues.
Manage different stakeholders to arrive at end-to-end technical design.
Interact professionally with a diverse people such as management, executives and SMEs.
Provide technical leadership and guidance to the development team, during the SDLC. Get development team's buy-in into accepting the design to be implemented.
Ensure that the solution architecture aligns with the roadmaps established by the enterprise architecture, and that it adheres to the enterprise architecture principles. Act as the bridge between Enterprise / Application Architecture and Delivery.
Document and manage how multiple applications are poised to work together. Involves defining the interaction between application packages, databases, and middleware systems in terms of functional coverage.
Assists in the analysis of new and existing architectures to ensure engineering platforms meet business requirements.
Assists in the design of overall system and solution architecture, system integration, and implementation strategy to deliver an integrated solution.
Works with both internal and external partners and suppliers to deliver end to end solution.
Contributes to broader architectural governance activities (including but not limited to) participation in peer reviews for other solutions.
Technically hands on and able to drive POCs on open source and next generation architectural concepts and technologies.
Able to do a deep dive on vendor platforms for vendor/ platform evaluation or to solve vendor platform issues.
Requirements
Demonstrated 10-15 years experience as a technical specialist.
5+ years of experience as a solution architect design and implementation of cloud native solution.
Proven expertise in Java, Springboot, React, RDBMS and No SQL DB, Caching and Elastic search solutions etc.
Proven effectiveness driving complex multi-stakeholder planning processes, driving cross-team programs to desired results, and managing risk.
Proven competency in strategic leadership, executive communication and influence, organizational agility, cross-team collaboration, drive for results, and written and verbal communications.
Demonstrated leadership abilities; effective in matrix management and team building.
Strong communication and interpersonal skills. Ability to speak to technical-level staff and summarize communications for business stakeholders and executives.
Ability to act as in a consultative manner with both business and IT leaders to align strategy.
Knowledge in technical program management methodologies.
Experience taking ownership and delivering results in a fast-paced, dynamic environment.
Deep knowledge and experience in Cloud Native/ API / Micro-services, Agile / Dev-Ops, CI / CD technologies and best practises.
Strong presentation and written communication skills; high degree of comfort with technical and business audiences.
Understanding of latest cloud computing and data technologies, business drivers, emerging computing trends, and deployment options.
Deep understanding of Application, Infrastructure and security architecture and non-functional aspects like Performance, Scalability, Reliability and Availability.
Experience of Credit Cards, Commercial Cards, Unsecured Lending and Card Payments.
Has experience of and is conversant with migration from legacy estate delivery to cloud based solutions, DevOps practices and agile delivery method.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Other,Banking,Product Manager - Auto/Home/Personal Loan,,16 days ago
Partner Business Analyst,Amazon Web Services (AWS),Not Specified,Permanent Job,3-6 Years,,"DESCRIPTION

Job summary
Amazon Web Services (AWS) is the pioneer and recognized leader in Cloud Computing. Millions of businesses in 150+ countries, from start-ups to Fortune 500 enterprises, across all industries including public sector, run their operations and applications on AWS. Many of these customers seek help from AWS Professional Services in their transition to a cloud-based IT operating model.

Are you passionate about solving business problems through data driven decision making Can you juggle multiple priorities Do you want to learn new skills to get the job done To help grow and scale this business, the Strategy Growth and Insights Team is looking for an experienced and self-directed Business Operations (BizOps) Analyst, with an established history of operational, organizational, collaboration, and communication skills. Based in Sydney or Singapore, you will work closely with Practice Management and Business Operations teams to aid them in achieving business KPIs. Your analysis of projects &, opportunity, and other data will contribute to the development of our APJ Partner strategy and drive impact against our Professional Services business objectives.

Responsibilities include:

Engagement Lifecycle Management
. Opportunity pipeline analysis working with Practice Managers to drive current and accurate updates
. Maximize our available capacity to staff customer engagements. Work closely with practice managers, helping them assess staffing needs across all engagements, based on each project's requirements. Optimize the staffing process around skill set/capability and location. Define rules of engagement for recalling a Resource that is under-utilized.
.

Business Management and Analytics
. Stakeholder management act as a business partner to Professional Services leadership team and executives, providing insights to help shape the strategy of the business.
. Act as point of contact and subject matter expert on business escalations.
. Business planning establish business rhythm and cadence, leading meetings through deliverables, outcomes and actions. Own agenda development and track follow-up actions and influence leaders to complete forward looking business plans.
. Analytics establish baseline metrics and analytics, collaborate with leadership team to track and report all key performance indicators against annual, quarterly and monthly goals. Establish and maintain management dashboards, regional reports, and executive review documents that will drive business outcomes.
. Collaborate with Business Operations Managers to develop mechanisms such as Training and Certification matrices and Consultant Skill profiles.

Program Management
. Analytics management establish baseline metrics and analytics, collaborate with leadership team to track and report all key performance indicators against annual, quarterly and monthly goals.
. Update, Review, and Maintain tools and documentation essential for the organization's success, such as resource rosters, wikis, and email distribution lists.
. Cross Collaboration with technical and non-technical departments to drive innovation in processes and tools.

BASIC QUALIFICATIONS

. 3+ year experience working in Professional Services Operations, Sales Operations or in a project environment (PMO or Project coordination role)
. Experience with www.salesforce.com inputting, extracting and analyzing data and building dashboards
. Strong Microsoft Excel Skills - Ability to create pivot tables and charts, develop formulas such as SUMIF, and use vlookup formulas
. Demonstrated experience generating business reports
. Ability to communicate fluently in English

PREFERRED QUALIFICATIONS

. Undergraduate Degree
. Experience working within a high-growth, Technology Company
. Experience presenting business, project and solution topics to audiences of different roles including technical experts, project managers and line of business leaders
. Understanding of the value proposition of the public cloud
. Ability to think strategically about business, product, and technical challenges
. Experience managing professional services projects
. Demonstrated experience managing successful projects

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",IT/Computers - Software,Human Resources,HR Business Partner,,18 days ago
"IT Project Manager (infrastructure, good technical background, permanent up to $11k)",Recruit Express Pte Ltd,72000-132000 SGD Per Annum,Permanent Job,5-7 Years,Performance Testing  Scalability  Cloud Computing  System Integration  Infrastructure Architecture  RedHat  Operating Systems  Itil  Firewalls  Ict  Service Management  Active Directory  Procurement  Vendor Management  Project Management  Performance Management ,"To handle design, planning, procurement, vendor management role for infrastructure and cloud technology.
Involved in supporting infrastructure architecture, resource planning, system performance and overall infrastructure operating environment for either on-premise infrastructure or cloud computing platforms, or both.
To support new application system initiatives and to drive development of infrastructure architecture, system integration, acceptance, performance management practice and performance testing
To run infrastructure services either on premise, hybrid or public cloud environment to support application systems by working closely with Applications Service counterparts
More information can be shared with interested applicants
Interested applicants can write in to [HIDDEN TEXT] with a copy of your resume
Jane Ng Wei Ling
R1104585
Recruit Express Pte Ltd
EA License No: 99C4599
RCB No.: 199601303W",Other,IT,Other Software/Hardware/EDP,,24 days ago
"Solution Architect, SAP on AWS",Amazon Web Services (AWS),Not Specified,Permanent Job,5-8 Years,,"DESCRIPTION

Job summary
Do you like helping customers and partners solve technical problems Would you like to do this using the latest cloud computing technologies Are you an expert in SAP products and technologies Do you have a knack for helping companies understand SAP application architectures and integration approaches Do you want to be part of the SAP Specialist team in ASEAN helping to establish Amazon Web Services as the leading cloud computing platform for SAP solutions and customers This role helps our customers who enjoy their SAP technology bring it to AWS cloud.
AWS and SAP have been collaborating since SAP became a customer in 2008. Together, we have certified AWS to support most SAP solutions, brought purpose built EC2 instances to market to support SAP customer needs, and helped SAP leverage AWS services to power several of their SaaS and PaaS offerings like Concur, SuccessFactors (for government agencies), HANA Enterprise Cloud (HEC), and SAP Cloud Platform. AWS has been supporting SAP workloads for customers longer than any other cloud provider (since 2011), has more customers (5,000+ across all segments) than any other cloud provider, is certified to support the largest public cloud (native) SAP S/4HANA (48TB) and BW/4HANA (100TB) deployments, and has more SAP HANA cloud native certifications than other cloud providers.

As an SAP on AWS, Solutions Architect you will have the opportunity to help shape and deliver on a strategy to build mind share and broad use of Amazon's web services across the global SAP customer and partner base. The emphasis being on working directly with customers to develop cloud migration and/or adoption strategies as it relates to their business-critical SAP systems.

Successful candidates will possess deep technical skill in both SAP products and cloud computing. You will have customer facing skills that will enable you to represent AWS cloud solutions well, not only to customers but to the broader SAP community including customers, partners, developers, & architects. The ideal candidate should also have demonstrated the ability to think strategically about business, product, and technical challenges. Strong written skills is a requirement.

Key job responsibilities
As a key member of the Specialist team working to ensure SAP customer success on the AWS platform, you will act as an Amazon ambassador. Your technical expertise and operational excellence will influence the team's decisions and drive secure and robust solutions. You will convey best practices around AWS services and influence customers to allocate appropriate resources for adopting them. You should not only be passionate about delivering great customer service and deploying SAP solutions in AWS cloud, but should also be obsessed with accelerating the customers successful adoption of AWS.

This includes:
. Lead or Support technical engagements with SAP customers in the ASEAN region.
. Focus on SAP within AWS, delivering strategy to build mind share and broad use of Amazon's web services across the ASEAN SAP customer and partner base.
. Act as an Amazon ambassador in customer and partner engagements.
. Working directly with customers to develop cloud migration and/or adoption strategies as it relates to their business-critical SAP systems.
. Applying deep technical skill in both SAP solutions and cloud computing, as well as customer facing skill, to represent AWS in public speaking forums.
. Strategic customer assessments of SAP business, product, and technical challenges.
. Capture and share best-practice knowledge for deploying, running and managing SAP solutions on AWS.
. Key membership of SAP on AWS Go-To-Market team working to ensure SAP customer success on the AWS platform (post live advisory and support).
. Significant travel may be required.
BASIC QUALIFICATIONS

. Excellent SAP administration (Basis), pre-sales, infrastructure and cloud experience
. Highly technical and analytical, possessing 5+ years of IT consulting experience as a technical specialist in enterprise customer or partner facing roles providing deal level support and enablement.
. Experience with SAP cloud migrations
. Experience working with large and complex enterprise customers and consulting partners
. Breadth of experience in multiple of the following domains of Enterprise IT: Infrastructure architecture Database architecture IP Networking IT Security Data Center Operations Software design or development
. Strong presentation and written communication skills high degree of comfort with technical and Executive audiences.
. Experience working in a fast-paced and highly cross-functional organization.
. Proven track record of driving results, and effectively leading work with a variety of organisations, management levels, cultures, and personalities.
. Travel up to 40% within market and 2-3 times per year to destinations outside the market
PREFERRED QUALIFICATIONS

. Broad knowledge of the entire SAP platform stack.
. Deep experience with SAP HANA.
. Previous experience with Cloud and architecting SAP solutions on Cloud a plus
. Technical degrees in computer science, software engineering, or math highly desired.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",IT/Computers - Software,IT,Software Engineer/Programmer,,18 days ago
Senior Database Specialist Solutions Architect,Amazon,Not Specified,Permanent Job,5-8 Years,,"Job Description :
Job summary
Are you a database specialist with deep experience in relational and/or non-relational database Do you have a unique combination of deep technical knowledge, business acumen and strong interpersonal skills Amazon Web Services (AWS) is seeking a pre-sales Solutions Architect to work with our customers and other AWS teams to help customers refactor existing workloads and design new cloud based solutions.

At AWS, customer obsession is in our DNA. The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to execute a go to market strategy, ensure success of our most complex customer engagements, collect, organized and disseminate expertise needed to drive database, analytics, and machine learning workloads.

At AWS, we're hiring highly technical database architects with hands-on capabilities in a combination of commercial, open-source, relational and non-relational databases to collaborate with our customers and partners in migrating their Database platforms and applications to the cloud.

You will join a highly skilled, dynamic pre-sales team bringing the latest in disruptive, cutting-edge cloud computing technologies to bear on difficult cost and agility challenges facing many organizations.

The ideal candidate will

Be great fun to work with. Our company credo is Work hard. Have fun. Make history. As the right candidate, you will love what you do, and instinctively know how to make work fun. You will be dynamic and creative, and willing to take on any challenge.

Enjoy working with customers. You have a passion for engaging with customers in a pre-sales capacity, designing and building cloud based database architectures, pro-actively identifying and removing roadblocks to success for some of the world's largest and most important organizations.

Key job responsibilities
. Collaborate with AWS field sales to support customers with their database workload challenges.
. Represent the voice of the customer to internal teams to drive the best outcomes for customers.
. Thought Leadership - Produce and validate content like reference architectures, best practice blogs, and other artifacts
. Capture best-practices from engineering and field teams, share patterns and solutions
. Collaborate with AWS field teams to build a strong worldwide database and analytics community.

About the team
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon's culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn't about how many hours you spend at home or at work it's about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we're building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
Basic Qualifications :
. 5+ years experience with Relational and/or Non-Relational Database implementation, operations and/or solution deployment experience in a business-critical, high-availability context.
. Technical degrees in computer science, software engineering, or mathematics or equivalent experience
. Working knowledge of modern software development practices such as agile methodologies and DevOps.
. Website/web services as well as traditional IT networking, operations, management, and security experience.
. Infrastructure requirements such as Networking, Storage, and Hardware Optimization.
. Implementation and tuning experience of Databases including knowledge of Schema Design, Query Tuning and Optimization, and Data Migration and Integration.
Preferred Qualifications :
. Analytics presentation layer expertise including Dashboards, Reporting, and OLAP.
. Strong verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations and virtual teams.
. Technical and customer-facing skills. The ideal candidate will also have a demonstrated ability to think strategically about business, product, and technical challenges.
. Demonstrated ability of being a trusted advisor to customers. He or she will be able to facilitate relationships with senior technical executives, as well as easily interact and give guidance to software developers, IT operations staff, and system architects.
. Executive speaking and presentation skills - Formal presentations, white boarding, large and small group presentations.
. Track record of implementing AWS services in a variety of business environments such as large enterprises and start-ups
. Understanding of application, server, and network security is highly desired
. AWS Certifications, e.g., AWS Solutions Architect Associate/Professional, AWS Database Specialty",Internet/E-commerce,IT,Software Engineer/Programmer,,17 days ago
